,Unnamed: 0,date,open,high,low,close,200_ma,20_ema,100_ma,volume,volume_ma,rsi,relative_vol,atr,prev_close,$_change,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,lofd_o_delta%,hofd_lofd_delta%
93,292,2010-01-05 14:30:00,4.594954,4.645787,4.541621,4.643287,3.4928267900000027,4.421160447123871,4.238832660000001,33210560,37452666.8,60.94395676975139,0.8867341857749901,0.1266251904386428,4.599954,-0.0049999999999998926,-0.10869673914130212,1.0518712483302228,1.1062787570887522,-1.1606862658472814,2.2935863648684074
94,293,2010-01-06 14:30:00,4.629954,4.685786,4.61912,4.655787,3.505518330000003,4.4435058331120745,4.24778257,44198660,37187298.6,61.3761899233247,1.1885418318608385,0.11163539282898224,4.643287,-0.01333300000000026,-0.2871457224160441,0.557953707531445,1.2058867107535096,-0.23399800516376643,1.44326192001941
95,294,2010-01-07 14:30:00,4.63162,4.725787,4.5869550000000014,4.710453,3.5191790250000032,4.468929372815686,4.2582208,43790236,36072783.8,63.28961197626561,1.2139411319843856,0.11843454462173685,4.655787,-0.024167000000000268,-0.5190744336027459,1.7020610499134294,2.033133115411035,-0.9643494069029498,3.026670198421369
96,295,2010-01-08 14:30:00,4.6699519999999985,4.766619,4.643287,4.760786,3.532816395000004,4.496725242071335,4.27187151,39688212,35048588.6,65.00846544110371,1.1323768969116206,0.11965890846630275,4.710453,-0.04050100000000079,-0.8598111476751978,1.9450735253810292,2.0699784494573366,-0.5709908795636147,2.656135621166653
100,299,2010-01-14 14:30:00,4.744953,4.819952,4.736619,4.7966190000000015,3.5879591900000043,4.578845165008296,4.31522109,39723348,36412023.2,63.051542123819466,1.0909404232171311,0.13485525228816614,4.758287,-0.0133340000000004,-0.2802268967802993,1.088862207908103,1.5806057509947946,-0.17563925290723892,1.759335086904808
101,300,2010-01-15 14:30:00,4.773286,4.789952,4.581621,4.6349540000000005,3.6011415650000043,4.584188863578935,4.322746019999999,65681108,37542721.4,54.32343165447924,1.7495031140710011,0.1548909392161245,4.7966190000000015,-0.023333000000000936,-0.4864468076368153,-2.8980454973785195,0.3491515069493162,-4.015368029487433,4.547102433832921
102,301,2010-01-19 14:30:00,4.62912,4.808285,4.622454,4.8016190000000005,3.6142664350000033,4.6048964956190375,4.33169593,42061380,36953662.0,60.40818546202372,1.1382195355902751,0.16262595441209324,4.6349540000000005,-0.005834000000001005,-0.12586964185622995,3.7263886008571863,3.870390052536969,-0.14400145167980222,4.020180622673571
105,304,2010-01-22 14:30:00,4.351623,4.395789,4.097527,4.115792,3.647785265000004,4.545637464793325,4.345670769999999,138271476,48522315.4,36.67309769026217,2.8496471130889187,0.2422686995176017,4.407956,-0.05633299999999952,-1.2779846259808294,-5.419380309369633,1.014931670321618,-5.839108764706862,7.279073450888776
107,306,2010-01-26 14:30:00,4.123292,4.25079,4.093292,4.121626,3.6670100700000043,4.473458428096123,4.354604019999999,68534796,53380550.8,37.690048024437225,1.283890761202112,0.19940051847865112,4.176625,-0.053332999999999416,-1.2769401131296063,-0.0404046087446673,3.092140939812172,-0.7275739869987439,3.8477098628683306
108,307,2010-01-27 14:30:00,4.11246,4.201625,4.011627,4.1807919999999985,3.6760824800000034,4.445585434944111,4.3610614499999985,97211940,57331006.6,40.174656726941684,1.6956259058601633,0.1970498888589884,4.121626,-0.009166000000000452,-0.22238796047968573,1.661584550366422,2.168166985210808,-2.4518901095694483,4.736183099774733
