,date,open,high,low,close,vwap,volume,volume_ma,rsi,date2,time_of_day
3373,2010-12-01 15:30:00,5.1466152,5.176614900000001,5.14078193,5.16744833,5.157335500049856,2604558,2615440.3,62.37310045360462,2010-12-01,10.5
3374,2010-12-01 16:30:00,5.16828165,5.25578078,5.166615,5.2266144,5.176007393720761,4527310,2795323.75,65.38699561339111,2010-12-01,11.5
3375,2010-12-01 17:30:00,5.22911438,5.2499475,5.206614599999999,5.21578118,5.183565809620113,2666660,2927366.75,64.37031425701238,2010-12-01,12.5
3376,2010-12-01 18:30:00,5.21021456,5.240147599999999,5.2099479,5.22411443,5.187372585787808,1729214,3013407.45,64.82340872613338,2010-12-01,13.5
3377,2010-12-01 19:30:00,5.2266144,5.25078083,5.22083946,5.23161435,5.191105910346066,1612250,3093299.95,65.25169805999522,2010-12-01,14.5
3378,2010-12-01 20:30:00,5.23161435,5.24494755,5.21244788,5.2266144,5.194145214877488,1823503,2777709.5,64.68625454768285,2010-12-01,15.5
3883,2011-03-17 13:30:00,6.1999379999999995,6.24743753,6.11827215,6.233271,6.1996602266666665,6796638,4191001.45,47.9427266720576,2011-03-17,8.5
3884,2011-03-17 14:30:00,6.23213768,6.2466042,6.16335503,6.17330493,6.1984742646830675,1988847,4204460.05,45.58163141107946,2011-03-17,9.5
3885,2011-03-17 15:30:00,6.16743833,6.20318797,6.14577188,6.19910468,6.196311962761952,1394390,4194373.95,46.795669617797664,2011-03-17,10.5
3886,2011-03-17 16:30:00,6.19160475,6.21493785,6.11243888,6.1132722,6.188389470454543,1943069,4189657.3,43.33214801126911,2011-03-17,11.5
3887,2011-03-17 17:30:00,6.11577218,6.14577188,6.06577268,6.10493895,6.171596919926734,3079693,4265226.0,42.999394985372334,2011-03-17,12.5
3888,2011-03-17 18:30:00,6.10077233,6.17493825,6.099939,6.12910538,6.166901449645683,2214090,4217604.65,44.33439568964193,2011-03-17,13.5
3889,2011-03-17 19:30:00,6.1263554000000005,6.21243788,6.11838882,6.15410513,6.166063923065059,3300235,3917220.2,45.74989754352804,2011-03-17,14.5
3890,2011-03-18 13:30:00,6.38493615,6.39493605,6.28600381,6.28985377,6.323597876666668,5723822,4023759.9,52.7725688634666,2011-03-18,8.5
3891,2011-03-18 14:30:00,6.2899370999999995,6.36410303,6.27077063,6.27110396,6.3167268772901775,2669165,4011694.25,51.77561938552598,2011-03-18,9.5
3892,2011-03-18 15:30:00,6.27077063,6.32827005,6.2499375,6.30910358,6.310863685209875,3260365,4074880.15,53.68525817766013,2011-03-18,10.5
3893,2011-03-18 16:30:00,6.313270200000001,6.31577018,6.27577058,6.30160365,6.310217385705576,602400,3954762.35,53.2371713454422,2011-03-18,11.5
3894,2011-03-18 17:30:00,6.2966037,6.31493685,6.22077113,6.25469579,6.3026191258771345,2378532,3944193.6,50.40355284457325,2011-03-18,12.5
3895,2011-03-18 18:30:00,6.25577078,6.27743723,6.19577138,6.20910458,6.28497231942765,4488576,3980185.3,47.74367069429126,2011-03-18,13.5
3896,2011-03-18 19:30:00,6.21243788,6.24577088,6.21243788,6.23743763,6.278358017937161,2721505,3876802.6,49.52630887273328,2011-03-18,14.5
4051,2011-04-20 13:30:00,6.99826335,7.09242908,6.99826335,7.06401269,7.051568373333335,5776949,2541100.6,70.04004696809555,2011-04-20,8.5
4052,2011-04-20 14:30:00,7.06492935,7.07576258,7.03284634,7.05909608,7.0527975660987,2287614,2582232.55,69.59033615603305,2011-04-20,9.5
4053,2011-04-20 15:30:00,7.056596099999999,7.07742923,7.04159625,7.04159625,7.052886170871884,1091920,2572048.8,67.91874785043295,2011-04-20,10.5
4054,2011-04-20 16:30:00,7.03909628,7.0532628,7.01126322,7.02826305,7.049869697354198,1458304,2609458.4,66.60600689423663,2011-04-20,11.5
4055,2011-04-20 17:30:00,7.02576308,7.04409623,7.01492985,7.02742973,7.047605018970798,1279599,2586265.3,66.519470211935,2011-04-20,12.5
4056,2011-04-20 18:30:00,7.02742973,7.05076283,7.01742983,7.05076283,7.046646879955583,1629220,2515123.4,67.78168981808311,2011-04-20,13.5
4057,2011-04-20 19:30:00,7.04826285,7.06409603,7.04076293,7.05576278,7.047331727521226,1491678,2180220.4,68.05957233858676,2011-04-20,14.5
4569,2011-08-05 13:30:00,5.2266144,5.26078073,4.82845172,5.04161625,5.043616233333334,11779553,7206315.15,19.561773627595926,2011-08-05,8.5
4570,2011-08-05 14:30:00,5.02411643,5.03494965,4.77078563,4.8532848,4.9682633811769215,10834797,7567253.4,16.705872111607675,2011-08-05,9.5
4571,2011-08-05 15:30:00,4.84828485,4.92161745,4.5799542,4.8166185,4.893230210478537,14081528,7966277.9,16.209692743533918,2011-08-05,10.5
4572,2011-08-05 16:30:00,4.81725183,5.15744843,4.80161865,5.1166155,4.92403260187625,11169738,8189156.3,33.58936840707533,2011-08-05,11.5
4573,2011-08-05 17:30:00,5.11828215,5.18744813,5.0199498,5.06993263,4.943879472708355,6394432,8151188.7,32.46103971935179,2011-08-05,12.5
4574,2011-08-05 18:30:00,5.06998263,5.10744893,4.85161815,4.8699513,4.9437594211022375,8647357,8195992.45,28.105502453004352,2011-08-05,13.5
4575,2011-08-05 19:30:00,4.86961797,5.02411643,4.86961797,4.9766169,4.944668355543672,4719502,8018138.95,33.25007946201448,2011-08-05,14.5
4583,2011-08-09 13:30:00,4.176624899999999,4.27079063,3.97162695,4.27079063,4.171069403333333,18695727,10122344.75,33.64855838048146,2011-08-09,8.5
4584,2011-08-09 14:30:00,4.27161562,4.30802359,4.166625,4.27745723,4.199589219596956,10431820,10126887.05,33.873188264951104,2011-08-09,9.5
4585,2011-08-09 15:30:00,4.28162385,4.32912338,4.24245758,4.29745703,4.2150036094220695,6012441,10246685.2,34.588633394159196,2011-08-09,10.5
4586,2011-08-09 16:30:00,4.29829035,4.3199568,4.21829115,4.23912428,4.219822058612864,4308182,10179259.95,33.451817978833205,2011-08-09,11.5
4587,2011-08-09 17:30:00,4.23829095,4.266624,3.96162705,4.09879235,4.2005314045419215,8315193,10284983.5,30.82690335636856,2011-08-09,12.5
4588,2011-08-09 18:30:00,4.11162555,4.24745752,3.78162885,4.2266244,4.16779001493161,18943432,10885063.65,35.771080389356115,2011-08-09,13.5
4589,2011-08-09 19:30:00,4.229957700000001,4.54745453,4.15912508,4.54407956,4.1973619154914985,8985999,10745385.95,46.0784227687196,2011-08-09,14.5
4646,2011-08-22 13:30:00,4.166625,4.17495825,4.01745983,4.06829265,4.086903576666667,8599102,6291129.55,39.90058176129092,2011-08-22,8.5
4647,2011-08-22 14:30:00,4.07162595,4.09079243,3.94829385,3.97496025,4.0487096589280105,7459736,6286634.8,36.6954122284477,2011-08-22,9.5
4648,2011-08-22 15:30:00,3.97609357,3.98579348,3.87992787,3.93412733,4.01310075284355,7164282,6374299.15,35.35723759690062,2011-08-22,10.5
4649,2011-08-22 16:30:00,3.93246068,4.03579298,3.90412763,3.99246008,4.007014458526603,4782488,6427034.6,38.79124527730062,2011-08-22,11.5
4650,2011-08-22 17:30:00,3.9932934,4.01079323,3.93246068,3.96686866,3.9998044043915306,6784203,6570096.4,37.8414804322455,2011-08-22,12.5
4651,2011-08-22 18:30:00,3.96246038,3.97079363,3.91335253,3.95829375,3.991818513880157,6266052,6751803.35,37.510082149529,2011-08-22,13.5
4652,2011-08-22 19:30:00,3.95412713,3.97412693,3.87829455,3.90912758,3.984592597818336,4629894,6201071.65,35.58575120136109,2011-08-22,14.5
4681,2011-08-29 13:30:00,4.64828685,4.76161905,4.64078693,4.73245268,4.711619553333333,7692321,6620277.85,69.63864390927169,2011-08-29,8.5
4682,2011-08-29 14:30:00,4.73411099,4.74828585,4.69078643,4.71411953,4.713393414793496,3146073,6458375.9,68.28368603791034,2011-08-29,9.5
4683,2011-08-29 15:30:00,4.71411953,4.78161885,4.7099529,4.7732856,4.723372606114644,3424919,6427320.35,70.29259613587507,2011-08-29,10.5
4684,2011-08-29 16:30:00,4.77028563,4.82411843,4.76078573,4.80578528,4.737308822675963,3335869,6409949.85,71.36549436446127,2011-08-29,11.5
4685,2011-08-29 17:30:00,4.80578528,4.833285,4.78161885,4.833285,4.749009522812411,3071025,6253832.25,72.27783057377697,2011-08-29,12.5
