,Unnamed: 0,date,rsi,relative_vol,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,y_rsi,y_rel_vol,y_o_c_delta%,y_hofd_o_delta%,tm_rsi,tm_rel_vol,tm_o_c_delta%,tm_hofd_o_delta%
542,741,2011-10-14 13:30:00,58.665816235567405,0.4777173984848838,3.6589551978927415,0.014258674736580535,0.015475588587134215,52.744282296507045,0.4906434021693869,-0.049436129587158414,0.002775535488511861,54.867090702107724,0.5599965469633895,0.01111722501746325,0.02059419296509041
547,746,2011-10-21 13:30:00,58.7983091386638,0.6205075787704021,3.714797711357409,0.016805055409138705,0.02223719209845841,62.04024750301242,0.5981239742454955,0.038799327388389,0.044105565242271653,54.753376189618216,0.5586502664930275,0.007270723028992646,0.016492449650147005
551,750,2011-10-27 13:30:00,64.61395231458198,0.9258767335345359,8.18078519941518,0.020734830295919347,0.04040265806575782,64.56061543976642,0.4472928767230218,0.014400507872293375,0.020903528821115996,57.79287511224404,0.6276316120823874,-0.005413635960983867,0.005905569936712024
555,754,2011-11-02 13:30:00,52.775859383906365,0.8868700583478578,4.176163162859655,0.005052905021191764,0.01633811027132962,56.57046193583434,0.9927508190388428,0.017286185068242824,0.023586539779434326,49.4448214356883,1.0946009599649895,0.0008781962645361945,0.03863705288545533
556,755,2011-11-03 13:30:00,56.57046193583434,0.9927508190388428,3.737212038331193,0.017286185068242824,0.023586539779434326,55.26617759511478,0.7536545512662833,0.009760956136410325,0.014560027830438237,52.775859383906365,0.8868700583478578,0.005052905021191764,0.01633811027132962
561,760,2011-11-10 14:30:00,50.54296649912098,0.9031563913015118,4.011692677943929,-0.016056840962743013,0.002648727204538076,54.74877321593027,0.9027812809956643,0.017802480193679953,0.02654165357379929,48.801103036337395,1.673894458357585,-0.04395046745162302,0.01448567679397854
562,761,2011-11-11 14:30:00,54.74877321593027,0.9027812809956643,3.9535387028080753,0.017802480193679953,0.02654165357379929,52.54496370497871,0.787089353291845,-0.015100295945135523,0.005783190501379187,50.54296649912098,0.9031563913015118,-0.016056840962743013,0.002648727204538076
572,771,2011-11-28 14:30:00,43.94529517164829,0.9930675924158876,8.456339013525263,0.0020907260129331847,0.014445990680461812,44.614133434494285,1.155322610500176,-0.002441947400083354,0.018407018130681848,36.221503424161945,0.5737581377552485,0.0018173662192438175,0.036761702718242535
574,773,2011-11-30 14:30:00,54.5437470193795,1.6168799253480564,8.755388022339055,0.034280129740941946,0.03912775560303528,54.52785517914703,0.8217435333403623,0.0045407108970401166,0.021358838866418553,44.614133434494285,1.155322610500176,-0.002441947400083354,0.018407018130681848
577,776,2011-12-05 14:30:00,57.09607704127595,0.9001103973363473,4.489110443321038,-0.01394691822161976,0.009618564290772414,57.184064449862916,0.7809262535124115,0.001789864761434614,0.020826629719994567,54.476616492650734,0.9537155955267672,-0.0272121320673994,0.010265508252061562
588,787,2011-12-20 14:30:00,52.11473350561821,1.0485196983706069,4.846237397076306,0.0392891406057832,0.04515543942520613,52.877706601059195,0.8373877254518509,0.008387553317030559,0.012666883717777364,42.94558532068897,0.6756511155968851,-0.04196441964419649,0.010357175000321519
596,795,2012-01-03 14:30:00,59.40826042152571,0.9472962159998356,5.193957572354296,-0.0071876968769687445,0.012656189061890573,59.6129070223913,0.8117031056699943,0.008395331415620723,0.012196858223142159,54.6027428178281,0.4673875171369426,-0.00701812180778598,0.009792819199879807
720,919,2012-06-29 13:30:00,57.76418670870954,0.4996258124875905,5.359688017124455,0.019678750214058415,0.02141900851060689,58.660547300532464,0.5008110238379977,-0.0011712803494885113,0.0028628521433837484,48.50249746927296,0.7639091618166922,0.013435808892128144,0.016983699497576474
738,937,2012-07-26 13:30:00,53.42942756553078,1.2825301607286699,4.470588743339102,0.004106877382078755,0.011400432150592022,60.94983454497105,1.5509503905408482,0.03932009489220916,0.047365906513670335,45.38972697000239,1.117430687490488,-0.0075549656595467075,0.006593472528131881
744,943,2012-08-03 13:30:00,60.506532594714066,1.1350418471613792,4.231838989207598,0.015538650458786484,0.021804276553722194,61.294488732146476,0.5895107565124758,-0.0022029346320271525,0.009546050072116532,52.25506519662854,1.3072069268719717,0.003277506277221528,0.02345708191862911
846,1045,2013-01-02 14:30:00,63.82142867058958,1.4854480497941391,5.7957914829397845,0.017254393864552287,0.017685714888391848,62.745785320447425,0.9758273019645278,-0.0031857596035996874,0.008176698028983298,52.94378552583457,1.7876015889544703,0.05844700673722495,0.06158680401184593
1341,1540,2014-12-18 14:30:00,56.61217725849657,1.4724338771866436,4.4772477735757015,0.027323680523120078,0.02884166277440447,58.44650497779715,0.8115060858463711,0.001235955056179769,0.013706741573033658,44.515987996653394,1.3074826240717026,0.050089674609274874,0.05803228285933898
1479,1678,2015-07-09 13:30:00,38.15416420069006,1.2989924432291264,3.650738286245786,-0.030510375771172167,0.0044307347167694446,46.62515384380702,1.5721250716592932,-0.0005572893446276991,0.006687472135532706,36.94967067302435,1.4264860408360311,-0.02802576562323415,0.004768900440727893
1480,1679,2015-07-10 13:30:00,46.62515384380702,1.5721250716592932,3.8065486520883858,-0.0005572893446276991,0.006687472135532706,52.963681562017044,0.6978624525094899,0.009591280653950904,0.011847411444141726,38.15416420069006,1.2989924432291264,-0.030510375771172167,0.0044307347167694446
1512,1711,2015-08-25 13:30:00,17.63851706687815,2.0050031158908683,10.16646848989299,-0.12587695628710197,0.0,32.55073660046365,1.8388142628594608,0.0360721442885771,0.03893501288290866,18.912258765862997,2.7901560234031453,0.03237686051864354,0.15083627435936778
1513,1712,2015-08-26 13:30:00,32.55073660046365,1.8388142628594608,7.825281679271481,0.0360721442885771,0.03893501288290866,40.59350533419328,1.4034717105107135,0.03271711663785089,0.033701290065168324,17.63851706687815,2.0050031158908683,-0.12587695628710197,0.0
1514,1713,2015-08-27 13:30:00,40.59350533419328,1.4034717105107135,3.8822879248411204,0.03271711663785089,0.033701290065168324,40.60797740082315,0.8394122347572118,0.012516297262059892,0.020208604954367628,32.55073660046365,1.8388142628594608,0.0360721442885771,0.03893501288290866
1518,1717,2015-09-02 13:30:00,38.51865337711721,0.8430357703467692,4.584360945887127,0.009987515605493118,0.010958524067138188,38.651609887500406,1.0070371919133771,-0.010586319218241057,0.028501628664495033,32.677903593039886,1.5521268101798442,-0.02268538210690478,0.026088189422940642
1521,1720,2015-09-08 13:30:00,43.43802009133143,0.7453978009619353,5.195923640017232,0.02346841315322689,0.024423522990858124,40.36162742321853,0.9337219265779368,-0.06770428015564202,0.0014267185473411082,35.670233007699025,0.8663798328995432,-0.00471428571428569,0.01499999999999996
1537,1736,2015-09-30 13:30:00,41.537576237292704,1.4534655370883385,3.716732945855012,0.018581330187287876,0.021235805928329122,42.61085273481231,1.0428206306247012,0.0018705035971222368,0.006762589928057537,33.98336966786492,1.12268165154981,-0.004264392324093834,0.021931160523911024
1615,1814,2016-01-22 14:30:00,38.92260526423768,0.9700427846421376,5.124124761298535,0.009990917347865525,0.014533757190432895,35.534270575477265,0.7865894863811118,-0.038060715903941944,0.002869657151487871,31.111955431311497,1.4749697732229512,0.004315167012945551,0.04043471312130404
1816,2015,2016-11-07 14:30:00,49.41350571265252,1.219238069442688,4.262939001848427,0.021939058171745195,0.023601108033240947,52.79581739904356,1.3026663178714215,0.01906941266209001,0.02920344339108649,28.50537529128489,0.8634907698324078,-0.006427915518824635,0.013429752066115722
2162,2361,2018-03-26 13:30:00,41.5683536582904,1.3484799539934074,4.880554842024141,0.03330884153808473,0.036468283125153184,36.88189876487185,1.1591674642260381,-0.06422878574777298,0.006563525550867351,29.647156033128336,1.5836870903819158,-0.07132633587786263,0.008585400763358685
2172,2371,2018-04-10 13:30:00,47.646919708658345,0.9836083074128428,3.995978889168141,0.00990816819719663,0.019623006283228554,45.93574253333148,0.8728525190649257,0.001951695535496421,0.025128080019516982,42.08183403425184,0.9031085236575602,-0.007730673316708286,0.0375735660847879
2302,2501,2018-10-12 13:30:00,28.385101528731823,2.3073287060561958,5.285746555229267,-0.009440034327397505,0.0019309161124223002,26.74346790671625,1.3251185543358095,-0.011336385437104775,0.01700457815565732,17.487430542065187,4.490172537555545,-0.05547258374226572,0.018561979944527515
2313,2512,2018-10-29 13:30:00,28.16157088984565,1.3991571762833586,3.9447731755423923,-0.05431688804554078,0.015417457305502983,35.11416850778812,0.9556093671980412,0.0471887550200802,0.04994979919678701,29.246921511953783,1.7811208586828309,-0.007585025691215933,0.033276241742109115
2337,2536,2018-12-03 14:30:00,57.484116931593505,1.3578375116819534,4.881854658938916,-0.011689691817215669,0.0012752391073326732,45.383605878686026,1.6819377854090451,-0.08617321467332317,0.005209463859344519,53.1618571192093,0.917834855949791,0.0221007063112326,0.027338801549327853
2342,2541,2018-12-11 14:30:00,39.173543282351325,1.2411162245561318,4.050153531218012,-0.03867908751979681,0.002272347206783717,41.22852265846938,1.1576009028380447,-0.021208384710234267,0.016766954377312047,39.14061018940478,1.5085875814325922,0.007476153647847362,0.01984789894302655
2343,2542,2018-12-12 14:30:00,41.22852265846938,1.1576009028380447,3.7349705807111633,-0.021208384710234267,0.016766954377312047,41.02948537356149,0.9088018712790121,-0.01320378674638767,0.011210762331838636,39.173543282351325,1.2411162245561318,-0.03867908751979681,0.002272347206783717
2358,2557,2019-01-04 14:30:00,44.03464552066992,1.3016565056393063,4.296490652673015,0.055660377358490554,0.06477987421383644,46.26649407155887,0.7768319355890361,0.01866666666666674,0.03762962962962972,34.41640128140703,1.0776850004939154,-0.052222567609574236,0.00310537768106926
2630,2829,2020-02-04 14:30:00,56.076726432835805,0.9903129210193516,3.6776797727612407,0.009516943042538008,0.017303532804614316,61.30779335502882,0.979581560668681,0.004582060538739215,0.006942515967786726,47.24649342556532,1.1364926112771574,0.007076181872929823,0.026046371574826917
2650,2849,2020-03-04 14:30:00,41.42536111255442,1.3778800256783146,5.859601624444017,0.06247716477895496,0.06466934599926925,35.84947785723391,1.6268143262486432,-0.02715268737214061,0.036232099683838566,30.331386420652148,2.1209785301929083,-0.08929200422684044,0.04103557590700948
2654,2853,2020-03-10 13:30:00,34.16693204849375,2.1060514888716098,11.08490566037737,0.0379806558150507,0.0379806558150507,30.26893787866821,1.896547271086304,-0.0713932806324109,0.012598814229249139,26.117697992594017,2.0305204637600256,-0.04240903387703902,0.08030112923462976
2657,2856,2020-03-13 13:30:00,33.33146316204639,2.2482667353865904,18.27676240208878,0.07347839798170919,0.07726269315673276,28.03234200006966,2.629617209789508,-0.025541125541125535,0.2480519480519479,25.085643625529627,2.676755004717063,-0.09118644067796615,0.1657627118644068
