,Unnamed: 0,date,open,high,low,close,200_ma,20_ema,100_ma,volume,volume_ma,rsi,relative_vol,atr,prev_close,$_change,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,hofd_lofd_delta%
615,814,2012-01-31 14:30:00,5.921607,5.953157,5.7500269999999984,5.823275,5.589158744999994,5.6389046417193125,4.895919399999999,15534884,15793928.2,63.65399175094306,0.9835984945151264,0.2010928766328839,5.840775,0.08083200000000001,1.383925934486434,-1.6605627492672188,0.5327945606657144,3.5326790639418153
617,816,2012-02-02 14:30:00,6.0399400000000005,6.08244,5.969107,6.034106,5.581646324999993,5.707365377915356,4.9284024199999985,11769884,15057522.2,69.8212070603468,0.7816614077447617,0.1901976181059972,5.996608,0.04333200000000037,0.7226085146803054,-0.09659036348043384,0.7036493740003963,1.8986592131787872
621,820,2012-02-08 14:30:00,6.339937,6.392437,6.254154,6.37327,5.567490224999995,5.910409113894452,4.999678389999999,12631732,14319207.6,76.88462472766447,0.8821530040531014,0.17240067213510082,6.3299379999999985,0.009999000000000535,0.15796363250320206,0.5257623222438935,0.8280839383735235,2.2110584421170376
622,821,2012-02-09 14:30:00,6.41327,6.434936,6.288271,6.404103,5.562894439999996,5.957427579237839,5.014628239999999,16431308,14621522.6,77.5212027305216,1.1237754404592584,0.16596675410132575,6.37327,0.040000000000000036,0.6276212995840446,-0.14293800198650147,0.33783077899418906,2.3323581315118336
626,825,2012-02-15 14:30:00,6.44577,6.470768,6.255772,6.2874370000000015,5.538732189999994,6.080607056431497,5.091140079999999,19049084,13966765.2,65.19997180014519,1.363886607043412,0.1782924456336225,6.378269,0.06750099999999915,1.0582965378223956,-2.4563861260950817,0.3878202293907351,3.436762081482498
627,826,2012-02-16 14:30:00,6.292436,6.525768,6.274937,6.504102,5.534017649999994,6.120939908199928,5.116639829999998,11225932,13914185.6,71.02556734039902,0.8067976324823496,0.1964270842252168,6.2874370000000015,0.004998999999999754,0.07950775490871324,3.363816493326261,3.708134655640516,3.9973469056342683
628,827,2012-02-17 14:30:00,6.579101,6.583268,6.491601,6.539935,5.5302510249999965,6.160844202657077,5.139806279999998,8207432,13855480.4,71.86443877790279,0.5923599733142417,0.17023706316891266,6.504102,0.07499900000000004,1.1531030724917912,-0.5953092983372624,0.06333692095623245,1.412086171038549
629,828,2012-02-21 14:30:00,6.588267,6.6366,6.489935,6.545768,5.527388554999996,6.197503611927832,5.161522719999998,9343052,13366457.6,72.00651810031799,0.6989923792523758,0.1643440473766844,6.539935,0.04833200000000026,0.7390287518148156,-0.6450710027386608,0.7336223622995169,2.25988395877616
631,830,2012-02-23 14:30:00,6.479934,6.588267,6.407436,6.578268,5.520114459999994,6.257887958970403,5.209480569999998,12120612,13113407.6,70.50142464185298,0.9242915624768652,0.15843246414938514,6.477435,0.002499000000000251,0.03858008609889951,1.5175154561759343,1.6718225833781641,2.822205325187804
632,831,2012-02-24 14:30:00,6.622433999999998,6.6607660000000015,6.579935000000001,6.614934,5.515683254999994,6.291892343830365,5.236988629999997,7984312,12541559.8,71.47229376160598,0.6366283083863299,0.13944884811203892,6.578268,0.044165999999999705,0.6713925306782835,-0.11325141179207689,0.5788204155753481,1.228446785568562
634,833,2012-02-28 14:30:00,6.654933,6.7166,6.6101009999999985,6.697433,5.5092583199999945,6.3608642225005925,5.297779689999998,9793068,12641704.4,73.67602145991529,0.7746635809646047,0.1528764770630218,6.6441,0.01083299999999987,0.16304691380322195,0.6386240101891397,0.926635925560782,1.6111554119975058
635,834,2012-02-29 14:30:00,6.724099000000002,6.786599000000002,6.5716009999999985,6.580767999999999,5.506270849999996,6.381807439405298,5.323921089999998,10345996,12382260.0,65.74159306439667,0.8355498915383783,0.16840685779726625,6.697433,0.026666000000000526,0.3981525459082685,-2.1316015721958066,0.929492561010776,3.271622851113499
636,835,2012-03-01 14:30:00,6.6591,6.759932000000001,6.630767999999999,6.7166,5.504633369999994,6.413692445176222,5.349129169999999,11618564,12138031.2,69.81722402798385,0.9572033395333504,0.1710961433479497,6.580767999999999,0.07833200000000051,1.1903169964356823,0.8634800498565888,1.514198615428532,1.9479493174848233
640,839,2012-03-07 14:30:00,6.31077,6.4307690000000015,6.291604,6.396602,5.490841829999994,6.427061960036252,5.4302450099999975,7814236,11592967.8,52.25269791723221,0.6740496596566066,0.20203595160618715,6.254104,0.056665999999999876,0.9060610440760162,1.360087596283812,1.9014953801200447,2.2119160710051218
641,840,2012-03-08 14:30:00,6.521601,6.6341,6.476602,6.592434,5.489575179999994,6.442811678128039,5.449936479999997,7910356,11356899.0,58.477004666532366,0.6965242888925931,0.21090146370464047,6.396602,0.12499900000000075,1.9541469048723172,1.086129004212301,1.725021202615733,2.431799885186713
642,841,2012-03-09 14:30:00,6.6391,6.732432000000001,6.607492,6.679099000000001,5.488808509999993,6.465315232592037,5.468119619999998,6811880,10875927.6,60.905843842366025,0.6263263466373205,0.1931755977784804,6.592434,0.046666000000000096,0.7078720848779084,0.6024762392493077,1.4057929538642449,1.890883863347869
643,842,2012-03-12 13:30:00,6.685766,6.708266,6.604100999999999,6.662433,5.487587684999993,6.484088353297556,5.489077739999996,4149688,10330957.8,60.17686991020042,0.4016750508844397,0.17092294833386035,6.679099000000001,0.0066669999999993115,0.0998188528123226,-0.348995163755358,0.3365358584192143,1.577277512866641
644,843,2012-03-13 13:30:00,6.780766000000002,7.03993,6.747433,7.03493,5.487712684999994,6.536549462507312,5.5109191799999975,13556064,10432586.2,69.08359593987791,1.2993963088462188,0.22256646125039525,6.662433,0.11833300000000067,1.7761229268647156,3.748308082007231,3.8220460638222633,4.334937449545627
645,844,2012-03-14 13:30:00,7.044929,7.0882619999999985,6.939931,7.0032619999999985,5.487241849999993,6.5809982756018535,5.534377269999998,6801704,9984538.4,67.69736056326566,0.6812236808063155,0.2040075959377966,7.03493,0.009998999999999649,0.14213361042682227,-0.5914466987531206,0.6150949143703043,2.1373555443130328
646,845,2012-03-15 13:30:00,7.040764,7.136595,6.979097,7.114928999999999,5.486233524999994,6.63184882078263,5.558193699999998,9028084,9483488.4,69.98451897731842,0.9519792316084872,0.19238019695334727,7.0032619999999985,0.03750200000000081,0.535493317257027,1.05336579950697,1.3610880864633377,2.2567102878782093
647,846,2012-03-16 13:30:00,7.171595,7.178261999999998,7.108128999999999,7.160761,5.4879001749999965,6.6822214092795225,5.579885149999996,8434728,9343928.2,70.89537327887244,0.9026961487139852,0.16181839771501055,7.114928999999999,0.05666600000000078,0.7964380248910534,-0.1510682072816439,0.09296397802718118,0.9866590772339577
650,849,2012-03-21 13:30:00,7.177428,7.194095,7.084095,7.131595,5.496620914999995,6.808991129278507,5.643284519999996,8650908,9465039.4,67.21651727572525,0.9139854188034336,0.15807113653602015,7.157428,0.020000000000000462,0.2794299851846287,-0.6385713656758384,0.23221410232189005,1.552774207573449
652,851,2012-03-23 13:30:00,6.985763,7.0649289999999985,6.8665970000000005,7.03993,5.503412509999995,6.844637636438867,5.6718008999999965,11572072,9705655.6,61.61845740645271,1.19230193991223,0.18240376430151148,6.96743,0.018333000000000155,0.2631242796841899,0.7753913208907836,1.1332477211150458,2.888359401316226
654,853,2012-03-27 13:30:00,7.352425999999999,7.366592,7.248453,7.261594,5.5135874049999964,6.925805022118893,5.718500419999995,9886920,9710194.6,65.66150435109422,1.01819998540503,0.1861987424196003,7.325760000000002,0.026665999999998743,0.3640031887476349,-1.2354017571887013,0.1926710993079187,1.6298512248061792
657,856,2012-03-30 13:30:00,7.234094,7.241592999999999,7.0882619999999985,7.1815940000000005,5.527953919999995,6.984372799774697,5.7790914499999975,7882924,9737580.6,61.42616424106412,0.8095362003986905,0.1931732819582688,7.120761999999999,0.11333200000000065,1.5915712391454828,-0.7257301328956927,0.1036619098397015,2.1631677835836283
658,857,2012-04-02 13:30:00,7.1815940000000005,7.4140929999999985,7.1340949999999985,7.3515929999999985,5.5343330199999965,7.019346152177107,5.8001070599999975,11692724,9943540.0,65.8354897240869,1.1759115968759617,0.2148794614687016,7.1815940000000005,0.0,0.0,2.367148574536489,3.2374289050592107,3.924786535643274
665,864,2012-04-12 13:30:00,6.621600999999999,6.884931,6.605866000000002,6.868264999999999,5.555084639999995,6.923411721938948,5.9235927999999936,14299268,11832945.8,49.59754239761871,1.2084284202501798,0.2733121565693393,6.5866,0.035000999999999394,0.5313970789177936,3.725141397073004,3.976832793156833,4.224502888796083
667,866,2012-04-16 13:30:00,6.727433,6.758267,6.537851,6.601601,5.555251304999996,6.8674028880271205,5.962242399999992,12098412,12332667.4,43.38130505559746,0.9810052933074316,0.25634165057025343,6.6291,0.09833300000000024,1.4833536980887332,-1.8704311139182035,0.4583323237853068,3.37138304314369
670,869,2012-04-19 13:30:00,6.839099000000001,6.929931,6.622484,6.717433,5.5514763449999975,6.852512736959077,6.038283329999992,15047284,12625815.8,46.75798090976612,1.1917870685235246,0.2523877588343256,6.832433,0.006666000000000949,0.09756407417388432,-1.7789770260673392,1.3281281642508598,4.642472522394917
671,870,2012-04-20 13:30:00,6.810764999999999,6.872431,6.736599000000001,6.737433,5.549184699999996,6.8415527620105925,6.065234729999994,8282048,12372659.4,47.31796300628048,0.6693830107373682,0.2280403191257442,6.717433,0.0933319999999993,1.3893997900686068,-1.0767072421379809,0.905419582088072,2.0163290111226573
673,872,2012-04-24 13:30:00,6.592434,6.6891,6.564934,6.6349339999999986,5.541693104999998,6.797967376611848,6.109034299999995,10959132,12454692.4,45.24237138181349,0.879919924798785,0.21639680450823107,6.564100999999999,0.02833300000000083,0.4316356497256949,0.6446784298484999,1.4663172964644002,1.8913518399423326
676,875,2012-04-27 13:30:00,7.1240960000000015,7.162428,7.0099300000000015,7.1007630000000015,5.544755569999995,6.858742526312564,6.170517019999995,10170088,12327629.8,57.15698256856516,0.8249832421152037,0.21359587065191002,7.058263,0.06583300000000047,0.9327082314728208,-0.3275222568589761,0.5380612501571945,2.1754568162592016
678,877,2012-05-01 13:30:00,7.019096,7.289094,6.989097,7.139928,5.547997204999996,6.898262390020037,6.209416629999998,6516052,11992425.6,57.53866244457668,0.543347294145398,0.22061561474169936,7.006597,0.012499000000000038,0.17838902394414918,1.7214752441055095,3.8466207044325964,4.2923570813225265
680,879,2012-05-03 13:30:00,7.099929,7.104921000000001,6.872431,6.914097999999999,5.550184694999996,6.916429761444973,6.249416239999998,9338120,11286689.0,50.57142547533039,0.8273568980238579,0.2175308457922061,7.091597,0.00833199999999934,0.11749116595316035,-2.617364201811049,0.07031056226055994,3.3829368385073812
689,888,2012-05-16 13:30:00,6.1441050000000015,6.221604,5.983274,5.99244,5.529243219999994,6.547249864128461,6.394206429999998,15048688,10720973.6,30.40444515473884,1.4036680399996508,0.2397042134465332,6.064106,0.07999900000000082,1.3192216626820314,-2.468463673716534,1.261355396758334,3.9832706976147234
690,889,2012-05-17 13:30:00,5.995773000000002,6.006539,5.683277,5.695777,5.5286807299999925,6.466157210401941,6.400664699999997,18041796,10870699.2,25.58153772987649,1.6596720843862556,0.2605936600848998,5.99244,0.0033330000000004745,0.055620081302448984,-5.003458269684357,0.17955983323582292,5.687950807254331
691,890,2012-05-18 13:30:00,5.767443,5.7882760000000015,5.511612,5.535777,5.526839074999994,6.377549571316044,6.404364639999998,13885588,11150876.2,23.423473243116106,1.2452463601021777,0.2646112450636747,5.695777,0.07166600000000045,1.2582304398504445,-4.01678872248932,0.3612172673401616,5.019656681203269
692,891,2012-05-21 13:30:00,5.590777,5.842442,5.559112,5.835775,5.5308515399999925,6.325951993095466,6.410964569999997,10127656,10997144.4,34.56908311633377,0.9209350747454041,0.2751246837977561,5.535777,0.055000000000000604,0.9935371312825754,4.382181582273803,4.501431554147125,5.096677311052562
693,892,2012-05-22 13:30:00,5.877441,6.00494,5.758277,5.862442,5.535347329999994,6.281808184229232,6.419714479999998,12433600,11070867.8,35.46821283143053,1.1230917236677689,0.2680092628483172,5.835775,0.0416660000000002,0.7139754359960794,-0.25519609639638113,2.169294425924484,4.283625119111164
