time,open,high,low,close,Plot,Plot,52 Week High,52 Week Low,VWAP,200 MA,100 MA,20 EMA,Volume,Volume MA,RSI
1497879000,243.59,244.73,243.48,244.66,NaN,NaN,NaN,NaN,244.29,228.07005,236.9287,242.6451896,65123802,67110289.35,63.20720467
1497965400,244.25,244.26,242.99,243.01,NaN,NaN,NaN,NaN,243.42,228.19815,237.0655,242.6799334,56906368,66905077.65,54.32992773
1498051800,243.42,243.59,242.41,242.95,NaN,NaN,NaN,NaN,242.9833333,228.32105,237.2053,242.705654,55977569,67286871.95,54.03274592
1498138200,242.96,243.53,242.64,242.84,NaN,NaN,NaN,NaN,243.0033333,228.440096,237.3582,242.7184489,44148059,67035219.95,53.45544644
1498224600,242.91,243.51,242.47,243.13,NaN,NaN,NaN,NaN,243.0366667,228.560696,237.5142,242.7576442,66986801,67180976.95,54.82577538
1498483800,243.9,244.38,243.045,243.29,NaN,NaN,NaN,NaN,243.5716667,228.684596,237.6709,242.8083448,56700477,67684505.55,55.60241928
1498570200,243.04,243.38,241.31,241.33,NaN,NaN,NaN,NaN,242.0066667,228.824846,237.8065,242.66755,82247666,70036794,45.32296012
1498656600,242.5,243.715,242.23,243.49,NaN,NaN,NaN,NaN,243.145,228.960596,237.948,242.7458786,70042599,68949123.15,55.16111666
1498743000,243.66,243.72,239.955,241.35,NaN,NaN,NaN,NaN,241.675,229.101196,238.0722,242.6129378,106949719,70848507.9,46.27692476
1498829400,242.28,242.71,241.575,241.8,NaN,NaN,NaN,NaN,242.0283333,229.244446,238.2008,242.5355151,86820694,70756236.2,48.16740129
1499088600,242.88,243.38,242.21,242.21,NaN,NaN,NaN,NaN,242.6,229.379096,238.3305,242.5045137,39153806,70478985.25,49.89732659
1499261400,242.63,243.01,241.7,242.77,NaN,NaN,NaN,NaN,242.4933333,229.526096,238.4522,242.5297981,54427596,70681593.55,52.2418816
1499347800,241.89,242.03,240.34,240.55,NaN,NaN,NaN,NaN,240.9733333,229.661796,238.5426,242.3412459,66115317,71280143.85,43.54293177
1499434200,241.21,242.28,240.5645,242.11,NaN,NaN,NaN,NaN,241.6515,229.805246,238.636,242.3192225,57972268,70881222.7,49.86094418
1499693400,241.95,242.8,241.76,242.37,NaN,NaN,NaN,NaN,242.31,229.937996,238.7227,242.3240584,36663274,66101568.3,50.84821183
1499779800,242.16,242.55,240.85,242.19,NaN,NaN,NaN,NaN,241.8633333,230.063046,238.7954,242.311291,50354614,64313893.9,50.11253184
1499866200,243.3,244.2,243.3,244.01,NaN,NaN,NaN,NaN,243.8366667,230.203146,238.8883,242.4730728,59610405,64291066.5,56.9022456
1499952600,244.02,244.55,243.76,244.42,NaN,NaN,NaN,NaN,244.2433333,230.354046,238.9816,242.6584944,39471637,62334532.8,58.27978396
1500039000,244.43,245.97,244.31,245.56,NaN,NaN,NaN,NaN,245.28,230.503996,239.0723,242.9348283,60262692,62024423,61.92401487
1500298200,245.47,245.91,245.33,245.53,NaN,NaN,NaN,NaN,245.59,230.648446,239.1648,243.1819875,33531917,59473364,61.77110139
1500384600,245.06,245.72,244.67,245.66,NaN,NaN,NaN,NaN,245.35,230.803346,239.257,243.4179887,42742498,58354298.8,62.20662244
1500471000,246.02,247,246.01,246.99,NaN,NaN,NaN,NaN,246.6666667,230.956796,239.3595,243.7581802,51034260,58060693.4,66.42138503
1500557400,247.28,247.42,246.47,247.1,NaN,NaN,NaN,NaN,246.9966667,231.113396,239.4594,244.0764488,47135183,57618574.1,66.75164301
1500643800,246.44,246.91,246.18,246.88,NaN,NaN,NaN,NaN,246.6566667,231.274396,239.5635,244.3434537,88711019,59846722.1,65.36691894
1500903000,246.79,246.98,246.28,246.82,NaN,NaN,NaN,NaN,246.6933333,231.430346,239.6339,244.5793152,46622256,58828494.85,64.97106541
1500989400,247.68,247.8,247.16,247.42,NaN,NaN,NaN,NaN,247.46,231.588546,239.7254,244.8498566,54915591,58739250.55,67.11568371
1501075800,247.75,247.79,247.13,247.43,NaN,NaN,NaN,NaN,247.45,231.750496,239.8155,245.0955846,47575422,57005638.35,67.15178048
1501162200,247.96,248,245.68,247.2,NaN,NaN,NaN,NaN,246.96,231.905696,239.9104,245.2960051,70766568,57041836.8,65.37432287
1501248600,246.65,247.06,246.13,246.91,NaN,NaN,NaN,NaN,246.7,232.073096,240.0095,245.4497189,50088359,54198768.8,63.10618982
1501507800,247.37,247.48,246.53,246.77,NaN,NaN,NaN,NaN,246.9266667,232.238396,240.1116,245.5754599,65838659,53149667.05,61.98808059
1501594200,247.46,247.5,246.716,247.32,NaN,NaN,NaN,NaN,247.1786667,232.409946,240.2162,245.7416066,55050401,53944496.8,64.63877074
1501680600,247.47,247.6,246.37,247.44,NaN,NaN,NaN,NaN,247.1366667,232.581546,240.3137,245.9033584,47211216,53583677.8,65.20881894
1501767000,247.31,247.34,246.64,246.96,NaN,NaN,NaN,NaN,246.98,232.754446,240.4052,246.0039909,40855997,52320711.8,60.97455855
1501853400,247.52,247.79,246.97,247.41,NaN,NaN,NaN,NaN,247.39,232.922946,240.5103,246.1378965,60191838,52431690.3,63.37558987
1502112600,247.49,247.87,247.37,247.87,NaN,NaN,NaN,NaN,247.7033333,233.090896,240.5995,246.3028588,31995021,52198277.65,65.69880413
1502199000,247.51,248.91,246.83,247.26,NaN,NaN,NaN,NaN,247.6666667,233.257796,240.6873,246.3940151,61719353,52766514.6,60.24158144
1502285400,246.47,247.31,246.06,247.25,NaN,NaN,NaN,NaN,246.8733333,233.424146,240.7895,246.4755375,62632619,52917625.3,60.15336916
1502371800,246.29,246.44,243.7,243.76,NaN,NaN,NaN,NaN,244.6333333,233.568496,240.8594,246.2169148,120479470,56968016.95,38.79974372
1502458200,244.02,244.8,243.75,244.12,NaN,NaN,NaN,NaN,244.2233333,233.718246,240.9633,246.0172087,74869947,57698379.7,41.12156959
1502717400,245.59,246.79,245.55,246.54,NaN,NaN,NaN,NaN,246.2933333,233.882246,241.0859,246.0669983,73291919,59686379.8,53.80802928
1502803800,246.98,247,246.16,246.51,NaN,NaN,NaN,NaN,246.5566667,234.048946,241.2107,246.1091889,55242746,60311392.2,53.65369073
1502890200,247.11,247.57,246.45,246.94,NaN,NaN,NaN,NaN,246.9866667,234.220946,241.3415,246.1883138,56715544,60595456.4,55.61867664
1502976600,246.24,246.6,243.09,243.09,NaN,NaN,NaN,NaN,244.26,234.373646,241.4362,245.8932363,128490396,64663217.05,39.47919638
1503063000,242.9,244.189,242.2,242.71,NaN,NaN,NaN,NaN,243.033,234.532146,241.5101,245.5900709,136747986,67065065.4,38.2979197
1503322200,242.64,243.2,241.83,242.9,NaN,NaN,NaN,NaN,242.6433333,234.697946,241.5837,245.3338737,65469736,68007439.4,39.27627459
1503408600,243.57,245.62,243.55,245.44,NaN,NaN,NaN,NaN,244.87,234.881246,241.6752,245.343981,63140101,68418664.9,50.56184823
1503495000,244.33,245.05,244.16,244.56,NaN,NaN,NaN,NaN,244.59,235.061296,241.7634,245.2693161,50203837,68550085.65,47.283123
1503581400,245,245.18,243.75,243.99,NaN,NaN,NaN,NaN,244.3066667,235.215496,241.85,245.1474765,50741671,67548840.8,45.2369053
1503667800,244.9,245.61,244.39,244.56,NaN,NaN,NaN,NaN,244.8533333,235.367746,241.9408,245.0915263,64445912,68266718.45,47.67547761
1503927000,245.17,245.2,244.09,244.57,NaN,NaN,NaN,NaN,244.62,235.5087,242.0387,245.0418572,40565606,67003065.8,47.7194619
1504013400,243.06,245.15,242.93,244.85,NaN,NaN,NaN,NaN,244.31,235.64835,242.1328,245.0235851,51135715,66807331.5,49.01188274
1504099800,244.83,246.32,244.62,246.01,NaN,NaN,NaN,NaN,245.65,235.7963,242.2409,245.1175293,62030805,67548310.95,54.07688751
1504186200,246.72,247.77,246.0473,247.49,NaN,NaN,NaN,NaN,247.1024333,235.9508,242.3624,245.3434789,103803880,70695705.1,59.59213714
1504272600,247.92,248.33,247.67,247.84,NaN,NaN,NaN,NaN,247.9466667,236.0986,242.4902,245.5812428,62006989,70786462.65,60.79137809
1504618200,247.26,247.52,244.95,246.06,NaN,NaN,NaN,NaN,246.1766667,236.23955,242.6105,245.6268388,91398777,73756650.45,52.29157387
1504704600,246.84,247.28,246.23,246.9,NaN,NaN,NaN,NaN,246.8033333,236.3791,242.7544,245.7480922,57916867,73566526.15,55.45671543
1504791000,247.25,247.27,246.4,246.87,NaN,NaN,NaN,NaN,246.8466667,236.52095,242.8774,245.8549406,58034730,73336631.7,55.31556829
1504877400,246.54,247.11,246.3,246.58,NaN,NaN,NaN,NaN,246.6633333,236.6531,243.0045,245.9239939,63832825,70504299.45,53.8877613
1505136600,248.04,249.3,248.02,249.21,NaN,NaN,NaN,NaN,248.8433333,236.79625,243.1622,246.2369468,71364848,70329044.5,63.17193848
1505223000,249.63,250.09,249.42,250.05,NaN,NaN,NaN,NaN,249.8533333,236.943,243.3093,246.6000947,56896027,69509249.9,65.55718912
1505309400,249.72,250.21,249.59,250.17,NaN,NaN,NaN,NaN,249.99,237.08625,243.4651,246.9400857,59228002,69708512.7,65.89699776
